view,missing_column
disease_prevalence,d.name (table does not exist)
disease_prevalence,p.patient_id (table does not exist)
disease_prevalence,d.name (table does not exist)
disease_prevalence,p.disease (table does not exist)
disease_prevalence,d.name (table does not exist)
readmission_rate,d.name (table does not exist)
readmission_rate,v.patient_id (table does not exist)
readmission_rate,p.patient_id (table does not exist)
readmission_rate,v.patient_id (table does not exist)
readmission_rate,p.patient_id (table does not exist)
readmission_rate,d.name (table does not exist)
readmission_rate,p.disease (table does not exist)
readmission_rate,p.patient_id (table does not exist)
readmission_rate,v.patient_id (table does not exist)
readmission_rate,v.outcome (table does not exist)
readmission_rate,d.name (table does not exist)
medication_adherence,d.name (table does not exist)
medication_adherence,m.adherence (table does not exist)
medication_adherence,d.name (table does not exist)
medication_adherence,p.disease (table does not exist)
medication_adherence,p.patient_id (table does not exist)
medication_adherence,m.patient_id (table does not exist)
medication_adherence,d.name (table does not exist)
patient_outcomes_summary,v.outcome (table does not exist)
patient_outcomes_summary,v.patient_id (table does not exist)
patient_outcomes_summary,v.outcome (table does not exist)
